iter	Passed	Remaining
0	81	48637
1	170	50942
2	258	51399
3	345	51491
4	433	51562
5	519	51474
6	608	51577
7	667	49379
8	751	49340
9	840	49575
10	923	49462
11	1006	49295
12	1094	49427
13	1182	49487
14	1266	49409
15	1350	49306
16	1430	49054
17	1513	48947
18	1598	48886
19	1681	48762
20	1763	48619
21	1849	48598
22	1938	48633
23	2025	48610
24	2111	48566
25	2201	48595
26	2290	48600
27	2375	48531
28	2455	48356
29	2541	48293
30	2627	48227
31	2711	48128
32	2799	48095
33	2886	48058
34	2973	48008
35	3060	47941
36	3143	47836
37	3229	47763
38	3314	47674
39	3399	47594
40	3485	47522
41	3567	47397
42	3591	46524
43	3677	46465
44	3759	46366
45	3845	46307
46	3929	46238
47	4014	46167
48	4096	46064
49	4186	46046
50	4269	45956
51	4356	45909
52	4439	45819
53	4521	45721
54	4605	45632
55	4688	45545
56	4770	45449
57	4796	44817
58	4882	44772
59	4963	44674
60	5045	44579
61	5128	44502
62	5210	44413
63	5294	44339
64	5377	44258
65	5460	44183
66	5546	44126
67	5630	44052
68	5715	43982
69	5798	43903
70	5885	43848
71	5970	43786
72	6054	43711
73	6142	43660
74	6233	43632
75	6317	43556
76	6400	43476
77	6484	43396
78	6567	43310
79	6646	43200
80	6694	42894
81	6727	42499
82	6761	42116
83	6848	42066
84	6929	41981
85	7019	41955
86	7102	41881
87	7187	41817
88	7275	41774
89	7359	41705
90	7440	41619
91	7522	41538
92	7601	41442
93	7681	41348
94	7765	41280
95	7846	41195
96	7930	41125
97	8003	40995
98	8028	40628
99	8090	40453
100	8177	40401
101	8264	40349
102	8349	40289
103	8436	40234
104	8523	40182
105	8565	39920
106	8651	39863
107	8737	39802
108	8825	39756
109	8914	39710
110	8998	39642
111	9083	39579
112	9170	39522
113	9254	39452
114	9339	39387
115	9420	39304
116	9505	39241
117	9594	39191
118	9678	39119
119	9759	39037
120	9849	38989
121	9935	38929
122	10030	38900
123	10114	38826
124	10201	38766
125	10285	38694
126	10373	38633
127	10461	38575
128	10545	38502
129	10629	38428
130	10713	38355
131	10800	38292
132	10885	38221
133	10969	38146
134	11058	38089
135	11139	38005
136	11222	37926
137	11308	37858
138	11394	37789
139	11479	37717
140	11562	37639
141	11669	37637
142	11761	37588
143	11853	37537
144	11941	37470
145	12033	37420
146	12116	37339
147	12205	37275
148	12291	37203
149	12377	37132
150	12416	36921
151	12500	36842
152	12588	36777
153	12669	36693
154	12753	36616
155	12825	36503
156	12909	36426
157	12993	36350
158	13074	36263
159	13161	36194
160	13250	36129
161	13337	36061
162	13422	35986
163	13507	35909
164	13591	35831
165	13672	35745
166	13758	35673
167	13851	35618
168	13935	35539
169	14021	35466
170	14111	35401
171	14201	35337
172	14234	35133
173	14318	35055
174	14400	34971
175	14482	34889
176	14564	34807
177	14646	34723
178	14729	34642
179	14815	34569
180	14898	34488
181	14986	34419
